,city,latitude,lon,temp,humidity,visibility,cloudiness,speed,lat
434,geresk,,-49.26,94.46,48,10000,0,3.22,-8.26
435,guarapari,,-40.5,85.66,58,10000,40,10.29,-20.67
436,westlock,,-113.87,10.4,92,2843,100,5.82,54.15
437,lata,,-8.33,61.2,62,10000,20,1.12,40.16
438,manzhouli,,117.43,-5.51,83,10000,0,13.31,49.6
439,pangnirtung,,-65.71,3.2,77,10000,90,2.24,66.15
440,beringovskiy,,179.32,22.44,96,509,100,24.72,63.05
441,hualmay,,-77.61,73.35,70,10000,50,9.28,-11.1
442,olinda,,-34.86,84.2,62,10000,40,10.29,-8.01
443,salekhard,,66.6,9.39,90,10000,10,15.39,66.53
444,berlevag,,29.09,12.2,78,10000,0,4.7,70.86
445,mezhova,,36.73,30.61,96,10000,100,4.94,48.25
446,pringsewu,,104.97,73.18,90,10000,96,4.07,-5.36
447,santos dumont,,-43.55,80.82,54,10000,20,3.36,-21.46
448,kiama,,150.87,74.57,75,10000,0,5.99,-34.68
449,sao jose da coroa grande,,-35.15,84.69,62,10000,24,11.95,-8.9
450,bocanda,,-4.5,93.76,43,10000,100,3.49,7.06
451,boden,,21.69,23.0,92,10000,40,5.82,65.83
452,ostrovnoy,,39.51,26.38,90,10000,100,10.65,68.05
453,urumqi,,87.6,-2.2,84,900,40,2.24,43.8
454,wahiawa,,-158.02,70.77,100,10000,1,6.93,21.5
455,tucuman,,-65.22,86.0,51,10000,20,6.93,-26.82
456,nakusp,,-117.8,34.48,93,5002,100,4.7,50.25
457,kathmandu,,85.32,46.4,65,7000,20,4.7,27.72
458,plettenberg bay,,23.37,69.44,69,10000,94,5.95,-34.05
459,sao raimundo nonato,,-42.7,93.85,36,10000,3,8.25,-9.02
460,atar,,-13.05,83.44,20,10000,0,14.92,20.52
461,abu dhabi,,54.37,75.2,64,10000,0,6.93,24.47
462,saint-paul,,55.27,71.19,74,10000,20,16.11,-21.01
463,union,,-74.27,26.89,79,4828,90,14.99,40.63
464,lichinga,,35.24,70.47,87,10000,100,8.48,-13.31
465,sambava,,50.17,80.35,78,10000,0,11.05,-14.27
466,paso de carrasco,,-56.05,81.0,47,10000,20,6.93,-34.86
467,santa cruz,,-63.17,83.08,69,10000,75,14.99,-17.8
468,ribeira brava,,-17.07,60.93,63,10000,40,9.17,32.65
469,high level,,-117.14,-18.4,68,10000,90,16.11,58.52
470,jacareacanga,,-57.75,82.4,78,10000,20,2.24,-6.22
471,miri,,114.01,82.2,83,10000,40,3.36,4.41
472,susangerd,,48.18,62.6,88,8000,90,4.7,31.56
473,sampit,,112.95,75.56,95,10000,100,2.73,-2.53
474,calatayud,,-1.64,53.35,62,10000,0,6.93,41.35
475,sistranda,,8.83,44.6,65,10000,75,7.94,63.73
476,elbrus,,42.64,19.62,84,10000,91,2.01,43.26
477,gardan diwal,,42.64,19.62,84,10000,91,2.01,43.26
478,cam pha,,42.64,19.62,84,10000,91,2.01,43.26
479,katsuura,,140.3,39.2,41,10000,20,3.36,35.13
480,banyo,,11.82,91.04,12,10000,8,6.11,6.75
481,clyde river,,-68.59,-4.0,83,10000,1,5.82,70.47
482,nalut,,10.85,65.61,29,10000,100,15.32,30.33
483,uruzgan,,66.0,33.87,71,10000,0,4.05,32.83
484,maldonado,,-54.92,82.08,42,10000,20,5.82,-34.67
485,ituni,,-54.92,82.08,42,10000,20,5.82,-34.67
486,ventspils,,21.56,42.8,87,10000,90,6.93,57.39
487,teofilo otoni,,-41.51,80.73,63,10000,94,4.14,-17.86
488,san quintin,,-115.95,55.87,51,10000,71,4.7,30.48
489,boguchany,,97.45,1.65,92,318,100,3.85,58.38
490,beloha,,45.05,85.69,48,10000,100,10.18,-25.17
491,san andres,,-81.7,84.2,74,10000,20,13.87,12.58
492,severnyy,,36.55,30.2,92,1800,90,4.47,50.68
493,shitanjing,,106.34,15.53,78,10000,100,5.03,39.23
494,guerrero negro,,-114.06,51.4,48,10000,0,1.39,27.98
495,dingle,,122.67,74.46,87,10000,95,8.48,11.0
496,laiagam,,122.67,74.46,87,10000,95,8.48,11.0
497,havoysund,,24.66,22.15,68,10000,0,9.17,71.0
498,husavik,,-17.34,37.4,89,10000,75,13.87,66.04
499,kayes,,-11.0,100.69,12,10000,46,2.46,14.0
500,kendal,,-2.75,46.65,93,10000,63,3.0,54.33
501,kamiiso,,140.65,25.3,92,6825,92,15.61,41.82
502,brae,,-1.35,48.2,81,10000,20,19.46,60.4
503,mandalgovi,,106.27,-3.69,82,10000,0,2.35,45.76
504,kimbe,,150.14,77.22,88,10000,97,3.33,-5.55
505,west wendover,,-114.07,30.2,74,10000,90,3.36,40.74
506,boende,,20.87,85.93,61,10000,100,0.02,-0.22
507,fairbanks,,-147.72,-10.21,43,10000,1,2.24,64.84
508,kieta,,155.63,79.14,83,10000,98,6.31,-6.22
509,guozhen,,107.36,32.38,92,9262,100,4.74,34.37
510,padang,,100.35,77.83,77,10000,100,2.89,-0.95
511,mangrol,,70.12,73.44,46,10000,0,10.47,21.12
512,kara,,1.19,91.4,13,10000,0,6.93,9.55
513,amapa,,-52.0,92.26,47,10000,14,5.77,1.0
514,deputatskiy,,139.9,-16.67,91,1080,100,1.79,69.3
515,ucluelet,,-125.55,44.01,92,10000,47,14.36,48.93
516,manjacaze,,33.88,75.52,86,10000,98,3.53,-24.71
517,meyungs,,33.88,75.52,86,10000,98,3.53,-24.71
518,jacksonville beach,,-81.39,51.44,87,10000,40,10.29,30.29
519,luwuk,,122.79,79.39,73,10000,100,4.32,-0.95
520,zhezkazgan,,67.71,5.02,91,10000,100,6.46,47.8
521,kashi,,75.98,26.6,79,6000,90,6.71,39.45
522,puerto colombia,,-74.95,84.2,74,10000,20,8.05,10.99
523,hounde,,-3.52,98.92,10,10000,48,7.47,11.5
524,lapua,,23.01,30.78,100,4800,75,1.12,62.97
525,odienne,,-7.57,94.62,28,10000,96,2.57,9.51
526,motala,,15.04,41.59,93,10000,100,6.93,58.54
527,bilma,,12.92,81.34,16,10000,0,9.4,18.69
528,apatou,,-54.35,82.83,85,10000,30,3.98,5.16
529,montlucon,,2.6,53.17,74,10000,90,1.01,46.33
530,filingue,,3.32,94.95,10,10000,9,12.03,14.35
531,iwanai,,140.51,23.45,93,439,100,13.98,42.97
532,talnakh,,88.4,-2.2,84,350,75,26.84,69.49
533,gao,,1.64,92.17,11,10000,14,3.6,16.64
534,powell,,-83.08,29.86,92,4828,90,6.93,40.16
535,nizwa,,57.53,61.66,38,10000,12,1.95,22.93
536,carlsbad,,-117.35,41.4,93,10000,1,1.7,33.16
537,innisfail,,146.03,76.84,84,10000,100,2.46,-17.53
538,bardiyah,,25.09,62.62,67,10000,72,8.66,31.76
539,baykit,,96.37,-5.93,87,1128,100,3.38,61.67
540,lagoa,,-27.98,63.61,92,10000,100,31.0,39.05
541,faya,,42.45,64.4,63,10000,20,11.41,18.39
542,banmo,,42.45,64.4,63,10000,20,11.41,18.39
543,aksu,,80.26,22.12,94,10000,89,3.53,41.12
544,anadyr,,177.48,12.2,78,7000,90,26.84,64.75
545,matay,,30.78,65.53,54,10000,1,7.65,28.42
546,lazarev,,141.51,2.79,87,10000,100,16.04,52.23
547,cascais,,-9.42,60.66,63,10000,20,4.7,38.7
548,mananjary,,48.33,80.1,79,10000,1,9.17,-21.22
549,la ronge,,-105.28,1.4,77,8029,100,6.93,55.1
550,komsomolets,,62.07,16.43,96,10000,100,7.87,53.75
551,kang,,22.79,80.33,49,10000,61,13.47,-23.68
552,dali,,100.18,46.78,79,10000,0,5.86,25.7
553,dongsheng,,109.98,6.89,88,10000,5,8.86,39.82
554,bubaque,,-15.83,82.26,48,10000,3,7.38,11.28
555,frederikshavn,,10.54,45.0,96,10000,100,1.01,57.44
556,yulara,,130.99,82.4,34,10000,69,17.22,-25.24
557,omboue,,9.26,78.89,81,10000,94,10.36,-1.57
558,trincomalee,,81.23,80.04,82,10000,98,10.16,8.57
559,waipawa,,175.52,56.41,87,10000,89,1.12,-41.41
560,vila franca do campo,,-25.43,64.4,88,10000,20,16.11,37.72
561,liverpool,,-2.98,47.7,87,10000,40,11.41,53.41
562,jaguaruana,,-37.78,98.6,37,10000,75,9.17,-4.83
563,vostok,,135.88,-12.41,91,10000,76,5.44,46.49
564,loukhi,,33.04,18.81,98,1973,78,6.55,66.08
565,bidar,,77.55,71.08,57,10000,17,6.67,17.9
566,grand-santi,,-54.38,90.9,48,10000,8,4.32,4.25
567,flin flon,,-101.86,-9.4,83,10000,40,3.36,54.77
568,pirovskoye,,92.27,14.45,96,271,100,8.41,57.63
569,sawakin,,37.33,76.05,72,10000,88,13.8,19.11
570,sabha,,14.43,65.32,32,10000,100,11.63,27.04
571,kiruna,,20.23,14.0,92,3100,99,4.7,67.86
572,henzada,,20.23,14.0,92,3100,99,4.7,67.86
573,ashtabula,,-80.77,30.2,86,4828,90,3.71,41.7
574,ingham,,-84.38,26.44,92,8047,90,5.82,42.6
575,phan rang,,-84.38,26.44,92,8047,90,5.82,42.6
576,gat,,34.76,60.24,100,10000,38,5.08,31.61
577,camacha,,-16.33,64.4,59,10000,20,5.82,33.08
578,tamandare,,-35.1,84.92,62,10000,24,11.32,-8.76
579,toppenish,,-120.31,36.82,73,10000,54,8.93,46.38
580,conceicao da barra,,-39.73,85.21,52,10000,0,9.22,-18.59
581,araguacu,,-49.83,95.34,39,10000,65,4.81,-12.93
582,pangai,,-174.35,76.84,86,10000,100,15.1,-19.8
583,bolungarvik,,-174.35,76.84,86,10000,100,15.1,-19.8
584,khash,,61.22,51.76,39,10000,0,5.19,28.22
585,hirara,,125.28,68.72,83,10000,88,23.53,24.8
586,zorritos,,-80.68,78.8,78,10000,75,3.36,-3.68
587,worthington,,-83.02,29.89,92,4828,90,6.93,40.09
588,maningrida,,134.27,79.68,83,10000,97,2.68,-12.07
589,shache,,77.24,23.04,91,10000,84,2.8,38.42
590,arlit,,7.39,86.45,12,10000,16,4.68,18.74
591,huazolotitlan,,7.39,86.45,12,10000,16,4.68,18.74
592,otradnoye,,30.82,32.92,86,10000,90,6.71,59.78
593,zdvinsk,,78.66,14.45,94,10000,100,14.2,54.7
594,ayan,,138.17,-6.05,89,10000,32,18.99,56.45
595,thongwa,,96.53,80.6,69,7000,75,2.24,16.76
596,pemba,,40.52,86.0,66,10000,75,13.87,-12.97
597,kahului,,-156.47,69.17,90,10000,5,8.01,20.89
598,bundaberg,,152.35,77.0,94,10000,75,5.82,-24.85
599,kenai,,-151.26,19.98,85,10000,1,12.75,60.55
600,posse,,-46.37,85.26,47,10000,94,6.02,-14.09
601,lompoc,,-120.46,48.24,87,10000,90,2.15,34.64
602,trapani,,12.67,61.39,77,10000,75,10.29,37.83
603,gamba,,10.0,77.16,83,10000,99,5.99,-2.65
604,bintulu,,113.03,78.39,94,10000,40,4.5,3.17
605,nahrin,,69.13,35.82,63,10000,5,6.15,36.06
606,nouadhibou,,-17.03,75.2,47,7000,0,19.46,20.93
607,riyadh,,46.72,77.0,29,10000,0,3.36,24.69
608,mogadishu,,45.34,82.4,65,10000,20,16.11,2.04
